theme_number,theme_name,chapter_number,chapter_name,question_id,question_number,points,question_text,options,correct_answers,comment,image_paths,url
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-001,1.1.01-001,4 Points,What should you understand by defensive driving?,A. Not insisting on your rights; B. Allowing for other people's mistakes; C. Stopping as a precaution at every crossroads,A. Not insisting on your rights; B. Allowing for other people's mistakes,"Defensive driving means that, on the one hand, you do not insist on your right of way in road traffic and, on the other hand, you also take into account potential mistakes made by other road users. Therefore, you do not have to drive over-cautiously - this could in turn pose a danger of its own and impede the flow of traffic. Driving defensively means preparing yourself as well as possible for dangers emanating from yourself or from outside and thus averting them in good time. You can achieve this, for example, by braking early enough to avoid a rear-end collision in front of traffic lights. Generally driving slower protects you against drivers who misjudge a traffic light phase in the heat of the moment or confuse left and right.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-001
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-002,1.1.01-002,4 Points,What can be the causes of rear-end collisions?,A. Unexpectedly heavy braking; B. Inattentiveness; C. Driving too close behind the vehicle in front,A. Unexpectedly heavy braking; B. Inattentiveness; C. Driving too close behind the vehicle in front,"There are several possible scenarios that lead to rear-end collisions. If someone brakes too suddenly and unexpectedly, a collision can occur. Tailgating is also a common cause of rear-end collisions, especially if the driver behind is distracted and unfocused. A sufficiently large safety distance can help to avoid such risks.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-002
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-003,1.1.01-003,2 Points,"Which of these is a good example of ""anticipatory driving""?","A. I respond as soon as possible to probable changes in the road traffic situation; B. I attempt to identify the intentions of other road users, as soon as possible; C. I limit my observation of road traffic as much as possible on the vehicle travelling directly in front of me","A. I respond as soon as possible to probable changes in the road traffic situation; B. I attempt to identify the intentions of other road users, as soon as possible",Driving with foresight is essential when it comes to road safety. You should always keep an eye on cars directly in front of you so that you can react immediately if necessary. The same applies to all road users in your vicinity.,,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-003
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-004,1.1.01-004,3 Points,You are to drive a motor vehicle with which you are unfamiliar. Why do you have to be particularly careful to begin with?,A. - of the arrangement and the function of the controls; B. - of its braking characteristics; C. - of its manoeuvrability,A. - of the arrangement and the function of the controls; B. - of its braking characteristics; C. - of its manoeuvrability,"Every driver is accustomed to the driving behaviour and characteristics of his or her motor vehicle. Every vehicle has different handling characteristics due to its particular centre of gravity, dimensions and weight. Even the clutch, cornering behaviour and braking distance of the same models can differ. The driver must familiarise himself carefully with these characteristics, as well as with the controls of the instruments.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-004
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-101,1.1.01-101,3 Points,You are driving in a built-up area behind a vehicle with number plates that are not local. What could happen?,A. - could brake unexpectedly; B. - may switch on the direction indicators too late before turning; C. - could stop unexpectedly to ask the way,A. - could brake unexpectedly; B. - may switch on the direction indicators too late before turning; C. - could stop unexpectedly to ask the way,"If you identify a non-local road user from the number plate, you must expect unexpected manoeuvres due to their lack of knowledge of the area. For example, the driver in question could stop in an open lane to ask a passer-by for directions. It is also possible that the non-local driver may be late in recognising the correct route and therefore brake or signal late before bends, junctions and exits.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-101
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-102,1.1.01-102,3 Points,What can cause unnecessary obstructions?,A. Stalling the engine in dense traffic; B. Vehicles proceeding too slowly for no good reason; C. Motor vehicles breaking down because they have run out of fuel,A. Stalling the engine in dense traffic; B. Vehicles proceeding too slowly for no good reason; C. Motor vehicles breaking down because they have run out of fuel,"One avoidable obstruction to road traffic is stalling the engine. This is especially a beginner's mistake, which in the worst case can result in a rear-end collision. However, this can be easily remedied by appropriate practice on secluded roads. In addition, according to road traffic regulations, every vehicle must be refuelled in good time to prevent stalling. Finally, it is also part of your duty as a motorist to drive at an appropriate speed, i.e. never drive so slowly for no reason that you could obstruct traffic and provoke an accident.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-102
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-103,1.1.01-103,3 Points,Why must you not drive extra slowly for no good reason?,A. Because it obstructs the flow of traffic; B. Because it increases the danger of rear-end collisions; C. Because it encourages vehicle drivers behind to overtake dangerously,A. Because it obstructs the flow of traffic; B. Because it increases the danger of rear-end collisions; C. Because it encourages vehicle drivers behind to overtake dangerously,"Road traffic regulations prohibit unnecessary slow driving, as it impedes the flow of traffic and greatly increases the risk of accidents: it tempts following road users to make risky overtaking manoeuvres at blind spots. In addition, the risk of rear-end collisions increases drastically due to the resulting speed differences.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-103
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-104,1.1.01-104,4 Points,What can present a danger?,A. Worn tyres; B. Headlights set too high; C. Vehicle in a spectacular colour,A. Worn tyres; B. Headlights set too high,"Safety risks include incorrectly adjusted headlamps. If they are set too low, they create poor visibility for the driver. Lights that are set too high can lead to extreme glare from oncoming traffic and cause serious accidents. The tread depth of the tires is an important safety factor. Worn tires have a much longer braking distance on wet roads. The legally prescribed tread depth of 1.6 millimeters is not sufficient in terms of safety. At this tread depth, the risk of aquaplaning is already very high. With aquaplaning, the vehicle slips uncontrollably.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-104
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-107,1.1.01-107,4 Points,How can you tell that you are getting tired while you are driving?,A. Heavy eyelids; B. Frequent yawning; C. Quicker reaction time,A. Heavy eyelids; B. Frequent yawning,Fatigue leads to prolonged reaction times as well as reduced attention while driving. Its signs include excessive yawning. You can also recognise sleep deprivation by the fact that you find it increasingly difficult to keep your eyes open.,,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-107
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-108,1.1.01-108,4 Points,What can happen if you ignore signs of tiredness?,A. Microsleep; B. Lack of concentration; C. Driving mistakes,A. Microsleep; B. Lack of concentration; C. Driving mistakes,"You should never ignore the first signs of tiredness, such as dwindling concentration, because you may be overcome by microsleep as a result. This in turn often leads to serious, sometimes even life-threatening driving errors.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-108
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-109,1.1.01-109,4 Points,What should you do if you start feeling tired while driving?,A. Take a break straightaway; B. Get out of the car and move around in the fresh air; C. Listen to stimulating music,A. Take a break straightaway; B. Get out of the car and move around in the fresh air,"Since tiredness can lead to dangerous situations during car journeys, you should plan sufficient breaks for longer journeys. During this recovery phase, a walk in the fresh air is recommended to get your circulation going again.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-109
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-110,1.1.01-110,4 Points,How does tiredness affect your driving?,A. Decreases alertness; B. Limits awareness; C. Delays reactions,A. Decreases alertness; B. Limits awareness; C. Delays reactions,"Fatigue at the wheel increases the risk of accidents for the following reasons: concentration and attention noticeably decreases; perception is limited, reaction is significantly delayed.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-110
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-111,1.1.01-111,4 Points,How could a dangerous situation arise?,A. Through vehicles at a standstill; B. Through failure to maintain suitable speed; C. By having lights turned on during day,A. Through vehicles at a standstill; B. Through failure to maintain suitable speed,"A major cause of danger in road traffic is driving too fast. This is especially true for beginners, who then easily lose control of their vehicle. Other road users are often not prepared for an unexpectedly high speed. But driving too slowly can also be a hazard, as risky overtaking manoeuvres and rear-end collisions become more frequent in this case. In addition, stationary vehicles can become a dangerous obstacle. To be seen better by other drivers, it helps to switch on your vehicle's lights even during the day.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-111
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-112,1.1.01-112,4 Points,What could cause the vehicle to leave the road?,A. Distraction; B. Inattention; C. Tiredness,A. Distraction; B. Inattention; C. Tiredness,"Drivers often drift off the road due to inattention or lack of concentration. Distractions, such as talking on a mobile phone, can also lead to such driving errors. A third cause of leaving the road is fatigue combined with microsleep.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-112
Theme 1.1.,Danger Teaching,1.1.01 Chapter,Basic Forms Of Traffic Behavior,1.1.01-113,1.1.01-113,4 Points,What is a frequent cause of serious accidents?,A. Failure to pay attention to other road traffic; B. Driving too close to the vehicle in front; C. Failure to adjust speed accordingly,A. Failure to pay attention to other road traffic; B. Driving too close to the vehicle in front; C. Failure to adjust speed accordingly,"Serious accidents often result: from risky overtaking manoeuvres and rear-end collisions due to unnecessary slow driving, from fatigue and delayed reactions, and from children acting unpredictably and rashly.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.01-basic-forms-of-traffic-behavior/1.1.01-113
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-004,1.1.02-004,4 Points,What should you reckon with when approaching children?,A. Rash behaviour on the part of the children; B. Fast and correct reactions of the children; C. Proper road conduct of the children,A. Rash behaviour on the part of the children,"Children can always behave ill-considered and are therefore exempt from the principle of trust towards other road users. Thus, when children approach you, you must reduce your speed to be ready to brake.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-004
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-005,1.1.02-005,5 Points,What conduct must you expect of children at zebra crossings?,A. They will run onto the zebra crossing without paying attention to traffic; B. They will turn around on the zebra crossing for no apparent reason and run back; C. They will wait at the curb because they always correctly judge the speed and distance of approaching vehicles,A. They will run onto the zebra crossing without paying attention to traffic; B. They will turn around on the zebra crossing for no apparent reason and run back,"Children generally do not have the necessary training to always behave according to the rules in road traffic. Therefore, it is quite conceivable that they do not know the meaning of a zebra crossing and enter the road despite approaching vehicles or suddenly run back after crossing.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-005
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-009-B,1.1.02-009-B,5 Points,What must you do?,A. Brake heavily immediately and remain ready to brake; B. Continue at the same speed because the children will certainly stop; C. Proceed at the same speed so as not to obstruct the traffic following behind,A. Brake heavily immediately and remain ready to brake,"If a child suddenly runs across the road without paying attention to the traffic, you should immediately slow down and continue driving ready to brake. Also, make sure that other children follow. It is essential to stay at walking pace to be able to stop completely if necessary.",images/1_1_02-009-B.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-009-B
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-022,1.1.02-022,4 Points,What do you have to reckon with when children are waiting at traffic lights?,A. - will already start running when the traffic lights in my driving direction change from green to amber; B. - will also start running when the light is red because they cannot wait since it's taking them too long; C. - will push each other onto the roadway,A. - will already start running when the traffic lights in my driving direction change from green to amber; B. - will also start running when the light is red because they cannot wait since it's taking them too long; C. - will push each other onto the roadway,"Due to a lack of life experience as well as insufficient education, children do not always behave according to the rules in road traffic and, for example, get into the lane during a scuffle. Furthermore, you must expect children to suddenly run across the road, even if the traffic lights are still red or the lights of the cross-traffic are just changing.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-022
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-023,1.1.02-023,4 Points,A group of children are cycling on a cycle path that ends. What do you have to reckon with?,A. - will move onto the roadway without paying attention; B. - will move too far onto the roadway; C. - will get off their bicycles and wait until the roadway is clear,A. - will move onto the roadway without paying attention; B. - will move too far onto the roadway,"Children in particular, who are generally not overly familiar with traffic rules, tend to make unpredictable manoeuvres. Therefore, especially at the end of a cycle path, you should be aware that the young road users could drive onto the road without warning. Furthermore, it often happens that children ride in groups next to each other and thus partially swerve into your lane.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-023
