theme_number,theme_name,chapter_number,chapter_name,question_id,question_number,points,question_text,options,correct_answers,comment,image_paths,video_paths,url
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-001,1.1.01-001,4 Punkte,Was versteht man unter defensivem Fahren?,A. Nicht auf dem eigenen Recht bestehen; B. Mit Fehlern anderer rechnen; C. Vorsorglich an jeder Kreuzung anhalten,A. Nicht auf dem eigenen Recht bestehen; B. Mit Fehlern anderer rechnen,"Defensives Fahren bedeutet, dass Sie im Straßenverkehr einerseits nicht auf Ihrem Vorrecht beharren und andererseits auch potenzielle Fehler der anderen Verkehrsteilnehmer in Betracht ziehen. Deshalb müssen Sie nicht übervorsichtig fahren – dies könnte wiederum eine eigene Gefahr darstellen und den Verkehrsfluss behindern. Defensiv zu fahren heißt, sich auf Gefahren, die von Ihnen selbst ausgehen oder von außen drohen, bestmöglich vorzubereiten und sie so rechtzeitig abzuwenden. Dies erreichen Sie zum Beispiel, indem Sie früh genug bremsen, um einen Auffahrunfall vor einer Ampel zu vermeiden. Generell langsamer zu fahren, schützt Sie gegenüber Fahrern, die im Eifer des Gefechts eine Ampelphase falsch beurteilen oder links und rechts verwechseln.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-001
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-002,1.1.01-002,4 Punkte,Was kann zu Auffahrunfällen führen?,A. Unerwartet starkes Bremsen; B. Unaufmerksamkeit; C. Zu dichtes Auffahren,A. Unerwartet starkes Bremsen; B. Unaufmerksamkeit; C. Zu dichtes Auffahren,"Es gibt mehrere mögliche Szenarien, die zu Auffahrunfällen führen. Bremst jemand zu plötzlich und überraschend, kann es zu einem Zusammenstoß kommen. Zu dichtes Auffahren ist ebenfalls ein häufiger Grund für Auffahrunfälle, besonders wenn der hintere Fahrer abgelenkt und unkonzentriert ist. Ein genügend großer Sicherheitsabstand kann helfen, solche Risiken zu vermeiden.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-002
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-003,1.1.01-003,2 Punkte,Welches Verhalten ist beispielhaft für „Vorausschauendes Fahren“?,"A. Ich reagiere möglichst frühzeitig auf wahrscheinliche Veränderungen der Verkehrssituation; B. Ich versuche, die Absichten anderer Verkehrsteilnehmer möglichst frühzeitig zu erkennen; C. Ich beschränke die Verkehrsbeobachtung möglichst auf das direkt vor mir fahrende Fahrzeug","A. Ich reagiere möglichst frühzeitig auf wahrscheinliche Veränderungen der Verkehrssituation; B. Ich versuche, die Absichten anderer Verkehrsteilnehmer möglichst frühzeitig zu erkennen","Vorausschauend zu fahren ist wesentlich, wenn es um die Sicherheit im Straßenverkehr geht. Dabei sollten Sie direkt vor Ihnen fahrende Autos stets im Auge behalten, um gegebenenfalls sofort reagieren zu können. Dasselbe gilt auch für sämtliche Verkehrsteilnehmer in Ihrer Umgebung.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-003
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-004,1.1.01-004,3 Punkte,Sie sollen ein Ihnen unbekanntes Kraftfahrzeug fahren. Warum müssen Sie dabei zunächst besonders vorsichtig sein?,A. - in der Anordnung und der Funktion der Bedienelemente; B. - im Bremsverhalten; C. - im Lenkverhalten,A. - in der Anordnung und der Funktion der Bedienelemente; B. - im Bremsverhalten; C. - im Lenkverhalten,"Jeder Fahrer ist an Fahrverhalten und Eigenschaften seines Kraftfahrzeugs gewöhnt. Jedes Fahrzeug hat ein unterschiedliches Fahrverhalten, bedingt durch seinen speziellen Schwerpunkt, seine Abmessungen und sein Gewicht. Selbst Kupplung, Kurvenverhalten und Bremsweg gleicher Modelle können sich unterscheiden. Mit diesen Eigenschaften hat sich der Fahrer vorsichtig vertraut zu machen, ebenso mit den Bedienelementen der Armaturen.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-004
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-101,1.1.01-101,3 Punkte,Sie fahren innerorts hinter einem Fahrzeug mit ortsfremdem Kennzeichen. Was könnte geschehen?,"A. - bremst unerwartet; B. - betätigt den Blinker vor dem Abbiegen zu spät; C. - hält unerwartet an, um nach dem Weg zu fragen","A. - bremst unerwartet; B. - betätigt den Blinker vor dem Abbiegen zu spät; C. - hält unerwartet an, um nach dem Weg zu fragen","Sollten Sie anhand des Kennzeichens einen ortsfremden Verkehrsteilnehmer identifizieren, müssen Sie aufgrund dessen fehlender Ortskenntnis mit unerwarteten Manövern rechnen. Beispielsweise könnte der entsprechende Fahrer auf offener Fahrbahn anhalten, um sich bei einem Passanten nach dem Weg zu erkundigen. Ferner wäre es möglich, dass der Ortsfremde den richtigen Fahrweg verspätet erkennt und daher vor Kurven, Kreuzungen und Ausfahrten erst spät bremst oder blinkt.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-101
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-102,1.1.01-102,3 Punkte,Was sind vermeidbare Behinderungen im fließenden Verkehr?,A. Abwürgen des Motors; B. Langsamfahren ohne triftigen Grund; C. Liegenbleiben wegen Kraftstoffmangels,A. Abwürgen des Motors; B. Langsamfahren ohne triftigen Grund; C. Liegenbleiben wegen Kraftstoffmangels,"Eine vermeidbare Behinderung des Straßenverkehrs ist zum einen das Abwürgen des Motors. Dies ist vor allem ein Anfängerfehler, der im schlimmsten Fall einen Auffahrunfall nach sich ziehen kann. Durch entsprechendes Üben auf abgelegenen Straßen lässt sich dies jedoch leicht beheben. Zudem muss laut Straßenverkehrsordnung jedes Fahrzeug rechtzeitig aufgetankt werden, um ein Liegenbleiben zu verhindern. Schließlich gehört es auch zu Ihrer Pflicht als Autofahrer, in angemessenem Tempo zu fahren, also auch niemals grundlos so langsam, dass Sie dadurch den Verkehr behindern und einen Unfall provozieren könnten.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-102
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-103,1.1.01-103,3 Punkte,Warum darf man nicht unnötig langsam fahren?,A. Weil der Verkehrsfluss behindert wird; B. Weil die Gefahr von Auffahrunfällen erhöht wird; C. Weil Nachfolgende zu gefährlichem Überholen verleitet werden,A. Weil der Verkehrsfluss behindert wird; B. Weil die Gefahr von Auffahrunfällen erhöht wird; C. Weil Nachfolgende zu gefährlichem Überholen verleitet werden,"Die Straßenverkehrsordnung verbietet unnötiges Langsamfahren, da es den Verkehrsfluss behindert und das Unfallrisiko stark erhöht: Es verleitet nachfolgende Verkehrsteilnehmer zu riskanten Überholmanövern an unübersichtlichen Stellen. Zudem steigt die Gefahr von Auffahrunfällen durch die entstehenden Geschwindigkeitsunterschiede drastisch.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-103
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-104,1.1.01-104,4 Punkte,Wodurch kann eine Gefährdung entstehen?,A. Durch abgefahrene Reifen; B. Durch zu hoch eingestellte Scheinwerfer; C. Durch auffällige Lackierung des Fahrzeugs,A. Durch abgefahrene Reifen; B. Durch zu hoch eingestellte Scheinwerfer,"Zu Sicherheitsrisiken zählen falsch eingestellte Scheinwerfer. Sind sie zu tief eingestellt, schaffen sie schlechte Sichtverhältnisse für den Fahrer. Zu hoch eingestellte Scheinwerfer können zu extremen Blendungen des Gegenverkehrs führen und schwere Unfälle verursachen. Die Profiltiefe der Reifen ist ein wichtiger Sicherheitsfaktor. Abgefahrene Reifen haben bei regennasser Fahrbahn einen viel längeren Bremsweg. Die gesetzlich vorgeschriebene Profiltiefe von 1,6 Millimetern reicht sicherheitstechnisch nicht aus. Bei dieser Profiltiefe ist die Gefahr des Aquaplanings bereits sehr hoch. Bei Aquaplaning rutscht das Fahrzeug unkontrollierbar.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-104
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-107,1.1.01-107,4 Punkte,Welche Anzeichen warnen während der Fahrt vor aufkommender Müdigkeit?,A. Schwere Augenlider; B. Häufiges Gähnen; C. Verkürzte Reaktionszeit,A. Schwere Augenlider; B. Häufiges Gähnen,"Müdigkeit führt während der Autofahrt zu verlängerten Reaktionszeiten sowie zu verminderter Aufmerksamkeit. Zu ihren Anzeichen gehört unter anderem übermäßiges Gähnen. Ferner erkennen Sie Schlafmangel daran, dass es Ihnen zunehmend schwerer fällt, Ihre Augen offen zu halten.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-107
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-108,1.1.01-108,4 Punkte,Welche Folgen kann die Missachtung von Müdigkeitsanzeichen nach sich ziehen?,A. Sekundenschlaf; B. Konzentrationsmangel; C. Fahrfehler,A. Sekundenschlaf; B. Konzentrationsmangel; C. Fahrfehler,"Erste Anzeichen von Müdigkeit wie zum Beispiel schwindende Konzentrationsfähigkeit sollten Sie keinesfalls ignorieren, denn es kann passieren, dass Sie in der Folge von Sekundenschlaf überwältigt werden. Dieser wiederum führt häufig zu gravierenden, mitunter sogar lebensgefährlichen Fahrfehlern.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-108
